Date,Created_at
84/08/31,2019-09-20 23:46:44.753513
84/09/01,2019-09-20 23:46:44.757768
84/09/02,2019-09-20 23:46:44.760808
84/09/04,2019-09-20 23:46:44.763909
84/09/05,2019-09-20 23:46:44.768644
84/09/06,2019-09-20 23:46:44.772147
84/09/07,2019-09-20 23:46:44.775502
84/09/08,2019-09-20 23:46:44.778902
84/09/11,2019-09-20 23:46:44.782254
84/09/12,2019-09-20 23:46:44.785427
84/09/13,2019-09-20 23:46:44.789053
84/09/14,2019-09-20 23:46:44.791933
84/09/15,2019-09-20 23:46:44.794379
84/09/16,2019-09-20 23:46:44.797433
84/09/18,2019-09-20 23:46:44.799993
84/09/19,2019-09-20 23:46:44.803258
84/09/20,2019-09-20 23:46:44.806711
84/09/21,2019-09-20 23:46:44.809931
84/09/23,2019-09-20 23:46:44.813113
84/09/25,2019-09-20 23:46:44.816183
84/09/26,2019-09-20 23:46:44.818970
84/09/27,2019-09-20 23:46:44.822137
84/09/29,2019-09-20 23:46:44.825963
84/09/30,2019-09-20 23:46:44.829932
84/10/02,2019-09-20 23:46:44.834448
84/10/03,2019-09-20 23:46:44.837869
84/10/04,2019-09-20 23:46:44.841985
84/10/05,2019-09-20 23:46:44.845100
84/10/06,2019-09-20 23:46:44.848445
84/10/07,2019-09-20 23:46:44.851938
84/10/09,2019-09-20 23:46:44.855556
84/10/11,2019-09-20 23:46:44.858560
84/10/12,2019-09-20 23:46:44.861831
84/10/13,2019-09-20 23:46:44.866060
84/10/14,2019-09-20 23:46:44.870593
84/10/16,2019-09-20 23:46:44.874172
84/10/17,2019-09-20 23:46:44.877257
84/10/18,2019-09-20 23:46:44.880516
84/10/19,2019-09-20 23:46:44.882951
84/10/20,2019-09-20 23:46:44.884904
84/10/21,2019-09-20 23:46:44.887791
84/10/23,2019-09-20 23:46:44.891030
84/10/24,2019-09-20 23:46:44.895570
84/10/26,2019-09-20 23:46:44.898884
84/10/27,2019-09-20 23:46:44.901438
84/10/28,2019-09-20 23:46:44.905412
84/10/30,2019-09-20 23:46:44.908423
84/11/01,2019-09-20 23:46:44.912524
84/11/02,2019-09-20 23:46:44.916587
84/11/03,2019-09-20 23:46:44.919919
84/11/04,2019-09-20 23:46:44.925147
84/11/06,2019-09-20 23:46:44.928297
84/11/07,2019-09-20 23:46:44.931446
84/11/08,2019-09-20 23:46:44.933789
84/11/09,2019-09-20 23:46:44.936356
84/11/10,2019-09-20 23:46:44.939239
84/11/11,2019-09-20 23:46:44.942763
84/11/14,2019-09-20 23:46:44.946712
84/11/15,2019-09-20 23:46:44.949652
84/11/16,2019-09-20 23:46:44.952299
84/11/17,2019-09-20 23:46:44.963409
84/11/18,2019-09-20 23:46:44.968941
84/11/20,2019-09-20 23:46:44.972900
84/11/21,2019-09-20 23:46:44.976100
84/11/22,2019-09-20 23:46:44.979835
84/11/23,2019-09-20 23:46:44.982879
84/11/24,2019-09-20 23:46:44.985373
84/11/25,2019-09-20 23:46:44.988613
84/11/27,2019-09-20 23:46:44.991040
84/11/28,2019-09-20 23:46:44.993711
84/11/29,2019-09-20 23:46:44.997160
84/11/30,2019-09-20 23:46:45.000558
84/12/01,2019-09-20 23:46:45.004141
84/12/04,2019-09-20 23:46:45.008278
84/12/05,2019-09-20 23:46:45.012399
84/12/06,2019-09-20 23:46:45.016446
84/12/07,2019-09-20 23:46:45.019599
84/12/08,2019-09-20 23:46:45.023157
84/12/09,2019-09-20 23:46:45.026234
84/12/11,2019-09-20 23:46:45.029252
84/12/12,2019-09-20 23:46:45.032487
84/12/13,2019-09-20 23:46:45.035620
84/12/14,2019-09-20 23:46:45.038990
84/12/15,2019-09-20 23:46:45.043607
84/12/16,2019-09-20 23:46:45.046803
84/12/18,2019-09-20 23:46:45.049849
84/12/19,2019-09-20 23:46:45.054493
84/12/20,2019-09-20 23:46:45.058513
84/12/21,2019-09-20 23:46:45.064242
84/12/22,2019-09-20 23:46:45.067887
84/12/23,2019-09-20 23:46:45.071238
84/12/26,2019-09-20 23:46:45.074705
84/12/27,2019-09-20 23:46:45.077503
84/12/28,2019-09-20 23:46:45.081123
84/12/29,2019-09-20 23:46:45.084731
84/12/30,2019-09-20 23:46:45.089786
85/01/04,2019-09-20 23:46:45.093332
85/01/05,2019-09-20 23:46:45.096617
85/01/06,2019-09-20 23:46:45.099677
85/01/08,2019-09-20 23:46:45.102940
85/01/09,2019-09-20 23:46:45.107995
85/01/10,2019-09-20 23:46:45.142303
85/01/11,2019-09-20 23:46:45.145950
85/01/12,2019-09-20 23:46:45.149112
