公司代號,利息淨收益,利息以外淨損益,呆帳費用及保證責任準備提存（各項提存）,營業費用,繼續營業單位稅前淨利（淨損）,所得稅（費用）利益,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,收益,支出及費用,營業利益,營業外損益,稅前淨利（淨損）,所得稅利益（費用）,繼續營業單位本期淨利（淨損）,本期淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於共同控制下前手權益,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,所得稅費用（利益）,其他綜合損益（淨額）,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於非控制權益,利息以外淨收益,淨收益,呆帳費用及保證責任準備提存,保險負債準備淨變動,繼續營業單位稅前損益,繼續營業單位稅前純益（純損）,繼續營業單位本期純益（純損）,其他綜合損益（稅後淨額）,收入,支出,其他綜合損益,年份,季度,公司名稱
4720,,,,99453.0,,,,,,,,,,,,,-27.0,,-574.0,0.03,,,,,6604.0,,2200.0,2200.0,,-601.0,,464268.0,365305.0,98963.0,97.0,,98866.0,,-587.0,7191.0,4404.0,-2801.0,1898.0,302.0,,,,,,,,,,,,,,德淵企業
4722,,,,96858.0,,,,,,,,,,,,,21442.0,,,0.26,,,,,27387.0,,23060.0,23060.0,,21442.0,,1118631.0,1000962.0,117669.0,,,117669.0,,20811.0,6576.0,4327.0,-1618.0,23060.0,,,,,,,,,,,,,,,國精化學
4725,,,,114985.0,,,,,,,,,,,,,,,,-0.17,,,,,-61113.0,,-50836.0,-50836.0,,-101717.0,,6115940.0,6043660.0,72280.0,,,72280.0,,-42705.0,-18408.0,-10277.0,-50881.0,,,,,,,,,,,,,,,,信昌化
4737,,,,111984.0,,,,,,,,,,,,,2218.0,,,0.06,,,,,5141.0,,2671.0,2671.0,,2218.0,,328256.0,203912.0,124344.0,,,124344.0,,12360.0,-7219.0,2470.0,-453.0,2671.0,,,,,,,,,,,,,,,華廣
4739,,,,34377.0,,,,,,,,,,,,,28983.0,,1064.0,0.46,,,,,31402.0,,24055.0,24055.0,,30047.0,,662446.0,609603.0,52843.0,,,52843.0,,18466.0,12936.0,7347.0,5992.0,23526.0,529.0,,,,,,,,,,,,,,康普材料
4746,,,,97939.0,,,,,,,,,,,,,55506.0,,,0.66,,,,,67157.0,,55809.0,55809.0,,55506.0,,608785.0,462198.0,146587.0,,,146587.0,,48648.0,18509.0,11348.0,-303.0,55809.0,,,,,,,,,,,,,,,台耀
4755,,,,62599.0,,,,,,,,,,,,,15891.0,,,0.11,,,,,12907.0,,9651.0,9651.0,,15891.0,,816268.0,752903.0,63365.0,,,63365.0,,766.0,12141.0,3256.0,6240.0,9651.0,,,,,,,,,,,,,,,三福化工
4904,,,,5280165.0,,,,,,,,,,,,,3106439.0,,38465.0,0.95,,,,,3806556.0,,3148295.0,3148295.0,,3144904.0,,22864485.0,13481263.0,9383222.0,,,9383222.0,,4103057.0,-296501.0,658261.0,-3391.0,3109939.0,38356.0,,,,,,,,,,,,,,遠傳
4906,,,,487860.0,,,,0.0,,,,,,,,,115604.0,,,0.16,,,,,68146.0,,49378.0,49378.0,,115604.0,,3614659.0,3190472.0,424187.0,,,424187.0,,-63673.0,131819.0,18768.0,66226.0,49378.0,,,,,,,,,,,,,,,正文
4912,,,,90321.0,,,,,,,,,,,,,25231.0,,0.0,0.87,,,,,31988.0,,28535.0,28535.0,,25231.0,,616858.0,495238.0,121620.0,,,121620.0,,31299.0,689.0,3453.0,-3304.0,28535.0,0.0,,,,,,,,,,,,,,聯德控股-KY
4915,,,,927250.0,,,,,,,,,,,,,377131.0,,25604.0,0.75,,,,,446482.0,,345258.0,345258.0,,402735.0,,11602651.0,10178132.0,1424519.0,,,1424519.0,,497269.0,-50787.0,101224.0,57477.0,322791.0,22467.0,,,,,,,,,,,,,,致伸
4916,,,,36440.0,,,,,,,,,,,,,28883.0,,,0.33,,,,,29883.0,,22392.0,22392.0,,28883.0,,398234.0,340205.0,58029.0,,,58029.0,,21589.0,8294.0,7491.0,6491.0,22392.0,,,,,,,,,,,,,,,事欣科
4919,,,,641481.0,,,,,,,,,,,,,61821.0,,,0.21,,,,,60238.0,,44241.0,44241.0,,61821.0,,1617630.0,925261.0,692369.0,,,692369.0,,50888.0,9350.0,15997.0,17580.0,44241.0,,,,,,,,,,,,,,,新唐科技
4927,,,,181536.0,,,,,,,,,,,,,201675.0,,1154.0,1.09,,,,,117227.0,,106808.0,106808.0,,202829.0,,1644344.0,1332505.0,311839.0,,,311839.0,,130303.0,-13076.0,10419.0,96021.0,106182.0,626.0,,,,,,,,,,,,,,泰鼎-KY
4930,,,,396316.0,,,,,,,,,,,,,50723.0,,64553.0,-0.05,,,,,11819.0,,18694.0,18694.0,,115276.0,,3035613.0,2632670.0,402943.0,,,402943.0,,6627.0,5192.0,-6875.0,96582.0,-13887.0,32581.0,,,,,,,,,,,,,,燦星網通
4934,,,,88448.0,,,,,,,,,,,,,113804.0,,,0.5,,,,,114126.0,,114887.0,114887.0,,113804.0,,1521985.0,1311016.0,210969.0,,,210969.0,0.0,122521.0,-8395.0,-761.0,-1083.0,114887.0,,,,,,,,,,,,,,,太極能源
4935,,,,183223.0,,,,,,,,,,,,,187712.0,0.0,0.0,1.08,,,,,137225.0,,139951.0,139951.0,,187712.0,,1306443.0,1005499.0,300944.0,,,300944.0,,117721.0,19504.0,-2726.0,47761.0,139951.0,0.0,,,,,,,,,,,,,,茂林-KY
4938,,,,6230934.0,,,,,,,,,,,,,4129416.0,,1071685.0,1.18,,,,,4462347.0,,3486464.0,3486464.0,,5201101.0,,218736852.0,207439384.0,11297468.0,0.0,0.0,11297468.0,,5066534.0,-604187.0,975883.0,1714637.0,2731500.0,754964.0,,,,,,,,,,,,,,和碩
4942,,,,229944.0,,,,,,,,,,,,,252579.0,,-116.0,1.04,,,,,193628.0,,158202.0,158202.0,,252463.0,,2321792.0,1948162.0,373630.0,,,373630.0,,143686.0,49942.0,35426.0,94261.0,158318.0,-116.0,,,,,,,,,,,,,,嘉彰
4952,,,,159104.0,,,,,,,,,,,,,21928.0,,,0.22,,,,,27184.0,,23514.0,23514.0,,21928.0,,473046.0,292230.0,180816.0,,,180816.0,,21712.0,5472.0,3670.0,-1586.0,23514.0,,,,,,,,,,,,,,,凌通科技
4956,,,,61213.0,,,,,,,,,,,,,11653.0,,,0.12,,,,,12459.0,,11694.0,11694.0,,11653.0,,355664.0,281186.0,74478.0,,,74478.0,,13265.0,-806.0,765.0,-41.0,11694.0,,,,,,,,,,,,,,,光鋐
4958,,,,1304953.0,,,,,,,,,,,,,666814.0,,,1.23,,,,,1043424.0,,911493.0,911493.0,,666814.0,,14845412.0,12467807.0,2377605.0,,,2377605.0,,1072652.0,-29228.0,131931.0,-244679.0,911493.0,,,,,,,,,,,,,,,臻鼎-KY
4960,,,,150682.0,,,,,,,,,,,,,521472.0,,-3050.0,1.08,,,,,568484.0,,529020.0,529020.0,,518422.0,,3884762.0,3203661.0,681101.0,,,681101.0,,530419.0,38065.0,39464.0,-10598.0,532070.0,-3050.0,,,,,,,,,,,,,,誠美材
4976,,,,38696.0,,,,,,,,,,,,,,,,0.18,,,,,21308.0,,17903.0,17903.0,,17903.0,,368806.0,310992.0,57814.0,,,57814.0,,19118.0,2190.0,3405.0,,,,,,,,,,,,,,,,,佳凌
4977,,,,42599.0,,,,,,,,,,,,,72732.0,,,1.0,,,,,51466.0,,49134.0,49134.0,,72732.0,,392610.0,294203.0,98407.0,,,98407.0,-37.0,55771.0,-4305.0,2332.0,23598.0,49134.0,,,,,,,,,,,,,,,眾達-KY
4994,,,,187234.0,,,,,,,,,,,,,126229.0,,,1.75,,,,,156999.0,,123855.0,123855.0,,126229.0,,373783.0,33222.0,340561.0,,,340561.0,,153327.0,3672.0,33144.0,2374.0,123855.0,,,,,,,,,,,,,,,傳奇
4999,,,,75848.0,,,,,,,,,,,,,91975.0,,,0.92,,,,,77502.0,,68257.0,68257.0,,91975.0,,479996.0,326126.0,153870.0,,,153870.0,,78022.0,-520.0,9245.0,23718.0,68257.0,,,,,,,,,,,,,,,鑫禾
5007,,,,109733.0,,,,,,,,,,,,,289529.0,,5048.0,1.23,,,,,346945.0,,289137.0,289137.0,,294577.0,,1770702.0,1332748.0,437954.0,,,437954.0,,328221.0,18724.0,57808.0,5440.0,286629.0,2508.0,,,,,,,,,,,,,,三星科技
5203,,,,313457.0,,,,,,,,,,,,,191032.0,,,1.72,,,,,209137.0,,172190.0,172190.0,,191032.0,,545557.0,82646.0,462911.0,,,462911.0,,149454.0,59683.0,36947.0,18842.0,172190.0,,,,,,,,,,,,,,,訊連
5215,,,,56265.0,,,,,,,,,,,,,46111.0,,-981.0,0.51,,,,,37418.0,,26802.0,26802.0,,45130.0,,420697.0,339939.0,80758.0,,,80758.0,-185.0,24308.0,13110.0,10616.0,18328.0,27882.0,-1080.0,,,,,,,,,,,,,,科嘉-KY
5225,,,,139294.0,,,,,,,,,,,,,26584.0,,,0.12,,,,,13118.0,,7551.0,7551.0,,26584.0,,1070843.0,921152.0,149691.0,,,149691.0,,10397.0,2721.0,5567.0,19033.0,7551.0,,,,,,,,,,,,,,,東科-KY
5234,,,,120869.0,,,,,,,,,,,,,65180.0,,,0.73,,,,,74489.0,,65001.0,65001.0,,65180.0,,774476.0,581965.0,192511.0,,,192511.0,,71642.0,2847.0,9488.0,179.0,65001.0,,,,,,,,,,,,,,,達興材料
5243,,,,216647.0,,,,,,,,,,,,,218412.0,,-1961.0,0.6,,,,,105671.0,,102886.0,102886.0,,216451.0,,1932101.0,1607133.0,324968.0,,,324968.0,,108321.0,-2650.0,2785.0,113565.0,103995.0,-1109.0,,,,,,,,,,,,,,乙盛-KY
5259,,,,12851.0,,,,,,,,,,,,,,,,-0.48,,,,,-39449.0,,-34680.0,-34680.0,,-37849.0,,114327.0,136733.0,-22406.0,,,-22406.0,,-35257.0,-4192.0,-4769.0,-3169.0,,,,,,,,,,,,,,,,奕智博
5264,,,,749740.0,,,,,,,,,,,,,1484387.0,,,3.3,,,,,1308550.0,,1121812.0,1121812.0,,1484387.0,,7572984.0,5523634.0,2049350.0,,,2049350.0,,1299610.0,8940.0,186738.0,362575.0,1121812.0,,,,,,,,,,,,,,,鎧勝-KY
5269,,,,105228.0,,,,,,,,,,,,,47892.0,,,0.85,,,,,55658.0,,47892.0,47892.0,,47892.0,,361709.0,206134.0,155575.0,,,155575.0,,50347.0,5311.0,7766.0,,47892.0,,,,,,,,,,,,,,,祥碩科技
5285,,,,56868.0,,,,,,,,,,,,,39083.0,,,0.66,,,,,55812.0,,42398.0,42398.0,,39083.0,,614731.0,505028.0,109703.0,,,109703.0,,52835.0,2977.0,13414.0,-3315.0,42398.0,,,,,,,,,,,,,,,界霖
5305,,,,421092.0,,,,0.0,,,,,,,,,282510.0,,104363.0,0.17,,,,,212440.0,,157530.0,157530.0,,386873.0,,2424018.0,1868646.0,555372.0,1916.0,2030.0,555486.0,,134394.0,78046.0,54910.0,229343.0,73525.0,84005.0,,,,,,,,,,,,,,敦南科技
