公司代號,營業收入(百萬元),毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入),年份,季度,公司名稱
3169,284.7,44.22,17.47,18.85,17.05,102,2,亞信電子
3171,271.22,13.61,-15.8,13.43,13.43,102,2,新洲全球
3176,40.32,49.3,-547.18,-463.83,-330.73,102,2,基亞
3178,378.43,18.08,1.46,1.68,2.03,102,2,公準精密
3188,173.89,24.51,-8.42,-4.81,1.17,102,2,鑫龍騰
3191,375.81,10.79,-3.54,-2.27,-2.74,102,2,和進
3202,946.21,7.49,-6.2,-9.0,-7.86,102,2,樺晟電子
3205,108.4,26.13,-21.21,-20.31,-20.13,102,2,佰研
3206,556.59,20.82,0.16,2.39,1.85,102,2,志豐電子
3207,514.86,8.07,-7.71,-8.54,-7.18,102,2,耀勝
3211,10963.44,6.38,3.16,5.13,3.78,102,2,順達科
3213,847.26,24.7,10.53,13.7,10.76,102,2,茂訊電腦
3217,840.78,21.48,5.38,7.66,6.18,102,2,優群科技
3218,426.2,53.46,3.06,4.53,3.79,102,2,大學光
3219,96.69,38.14,-6.6,-4.37,-4.37,102,2,倚強股份
3221,752.98,14.44,2.18,6.6,5.35,102,2,台灣嘉碩
3224,1092.82,10.27,0.03,0.22,0.28,102,2,三顧
3226,299.38,20.89,1.64,3.04,3.03,102,2,至寶電
3227,2078.69,40.8,2.13,4.32,3.69,102,2,原相
3228,134.31,66.37,-20.93,-18.49,-18.46,102,2,金麗科
3230,919.15,4.42,-10.71,-10.98,-10.83,102,2,錦明實
3232,635.41,11.32,4.36,3.55,2.96,102,2,昱捷
3234,936.11,21.82,8.8,9.49,8.5,102,2,光環
3236,748.74,13.54,-1.2,0.09,-0.27,102,2,千如
3252,243.59,20.18,12.14,2.34,2.34,102,2,海灣
3259,254.71,25.26,-28.99,-29.47,-29.47,102,2,鑫創科技
3260,16763.96,18.19,12.57,13.21,10.75,102,2,威剛科技
3264,2309.95,26.29,17.08,17.12,13.95,102,2,欣銓科技
3265,609.7,49.12,44.94,47.34,37.32,102,2,台星科
3268,398.36,10.33,-2.0,-0.8,-0.81,102,2,海德威
3272,1101.42,23.19,6.32,7.15,5.07,102,2,東碩
3276,390.7,12.61,4.27,-2.7,-2.7,102,2,宇環
3284,562.82,18.53,6.84,6.37,5.01,102,2,太普高
3285,601.67,15.99,1.8,2.71,2.19,102,2,微端
3287,371.36,29.22,1.01,4.2,4.04,102,2,廣寰
3288,173.6,30.83,-22.62,-19.8,-19.8,102,2,點晶科技
3289,783.22,35.58,5.74,5.45,3.62,102,2,宜特科技
3290,1025.5,12.96,-3.16,19.47,13.27,102,2,東浦精密
3293,845.51,83.48,7.65,10.77,9.14,102,2,鈊象電子
3294,2490.17,11.33,1.95,2.21,0.86,102,2,英濟
3297,445.38,34.24,13.83,15.88,14.32,102,2,杭特
3303,1441.81,22.24,4.68,6.11,4.8,102,2,岱稜
3306,533.52,20.39,-0.8,6.41,5.95,102,2,鼎天國際
3310,201.91,22.51,8.26,4.75,4.66,102,2,佳穎精密
3313,1039.48,14.9,-5.26,-2.68,-2.45,102,2,斐成
3317,1202.1,18.43,-0.02,1.66,1.28,102,2,尼克森微
3322,1146.77,16.31,1.35,3.17,2.79,102,2,建舜電子
3323,2369.91,7.87,0.24,1.53,1.09,102,2,加百裕
3324,2012.95,11.44,0.6,0.43,0.05,102,2,雙鴻科技
3325,747.49,8.5,-1.48,-5.08,-3.98,102,2,旭品科技
3332,586.31,34.8,14.45,16.51,14.43,102,2,幸康
3339,955.59,-20.6,-28.88,-31.07,-31.07,102,2,泰谷光電
3354,433.23,20.0,-1.38,3.01,2.36,102,2,律勝科技
3360,3721.64,3.01,-0.73,-0.94,-0.99,102,2,尚立
3362,566.31,29.69,10.78,14.09,11.45,102,2,先進光電
3363,490.97,25.59,5.25,7.46,5.51,102,2,上詮
3372,1163.77,-3.2,-10.93,-10.3,-10.3,102,2,典範
3373,311.52,21.26,0.67,2.94,2.61,102,2,熱映
3374,1722.65,8.34,-1.06,-1.55,-1.28,102,2,精材
3379,561.93,18.45,0.64,0.72,0.06,102,2,彬台科技
3388,3360.76,15.77,5.91,6.5,5.24,102,2,崇越電
3390,596.28,32.93,24.08,29.37,25.87,102,2,旭軟
3402,511.39,17.95,0.89,1.16,0.09,102,2,漢科系統
3434,412.51,9.71,-0.5,0.72,0.72,102,2,哲固
3438,563.72,24.61,4.7,8.76,6.09,102,2,台灣類比
3441,329.68,15.23,1.68,4.64,2.99,102,2,聯一光學
3444,371.37,15.18,-0.54,1.91,1.33,102,2,利機企業
3452,1380.94,-22.44,-34.13,-32.12,-32.12,102,2,益通光能
3455,478.93,44.3,-13.79,-9.53,-9.58,102,2,由田
3465,254.76,21.65,0.57,0.48,0.38,102,2,進泰電子
3466,587.18,16.53,2.4,6.22,3.9,102,2,致振
3479,1530.43,26.57,7.43,8.01,5.87,102,2,安勤科技
3483,1324.38,13.06,-4.52,-4.76,-5.17,102,2,力致
3484,1108.6,20.39,3.19,4.15,3.5,102,2,崧騰
3489,147.83,0.24,-9.37,1.46,1.24,102,2,森寶
3490,148.1,34.19,-2.86,27.85,26.0,102,2,單井
3491,549.68,37.42,18.23,20.24,16.42,102,2,昇達科
3492,532.43,25.1,10.6,10.07,8.49,102,2,長盛科技
3498,1828.17,32.08,17.69,18.94,14.13,102,2,陽程科技
3499,244.15,25.28,-10.7,-8.67,-7.38,102,2,環天科
3508,3084.33,7.58,1.92,5.16,3.55,102,2,位速
3511,490.92,27.59,-2.21,1.46,0.49,102,2,矽瑪科技
3512,258.2,3.36,-15.98,-16.9,-16.9,102,2,皇龍
