公司代號,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,貼現及放款－淨額,備供出售金融資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值,流動資產,非流動資產,資產合計,流動負債,非流動負債,負債合計,保留盈餘（或累積虧損）,歸屬於母公司業主權益合計,權益合計,母公司暨子公司持有之母公司庫藏股股數（單位：股）,存放央行及拆借金融同業,避險之衍生金融資產,附賣回票券及債券投資,再保險合約資產－淨額,投資性不動產－淨額,央行及金融同業存款,避險之衍生金融負債,應付商業本票－淨額,應付債券,其他借款,歸屬於母公司業主之權益,應收款項,待出售資產,投資,再保險合約資產,不動產及設備,無形資產,其他資產,分離帳戶保險商品資產,短期債務,以成本衡量之金融負債,保險負債,具金融商品性質之保險契約準備,外匯價格變動準備,分離帳戶保險商品負債,庫藏股,年份,季度,公司名稱,待註銷股本股數（單位：股）
1210,,,,,,,,,,,,,,,,,,,,35244968.0,,,,,,,,,,,,,,,,,17743028.0,5664572,2326468.0,3210329.0,902661.0,-306199.0,11797831.0,,,5704109.0,17501940.0,40688225.0,0,22.44,20141455.0,15103513.0,,13900605.0,3842423.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大成長城,
1213,,,,,,,,,,,,,,,,,,,,789955.0,,,,,,,,,,,,,,,,,146785.0,514751,21938.0,106835.0,-354.0,,643170.0,,,,643170.0,0.0,0,12.49,350936.0,439019.0,,109422.0,37363.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大飲,
1215,,,,,,,,,,,,,,,,,,,,9872877.0,,,,,,,,,,,,,,,,,4963936.0,2320268,967.0,622685.0,1902197.0,,4846117.0,,,62824.0,4908941.0,0.0,0,20.89,4670960.0,5201917.0,,3872264.0,1091672.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,卜蜂企業,
1216,,,,,,,,,,,,,,,,,,,,353123410.0,,,,,,,,,,,,,,,,,219035386.0,48624744,3954452.0,28477139.0,3333002.0,0.0,84389337.0,,,49698687.0,134088024.0,0.0,0,17.36,130667160.0,222456250.0,,122801105.0,96234281.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,統一,
1217,,,,,,,,,,,,,,,,,,,,12809080.0,,,,,,,,,,,,,,,,,6947907.0,4976893,299284.0,95925.0,-36686.0,-100582.0,5234834.0,,,626339.0,5861173.0,10484000.0,4976893,10.64,3548466.0,9260614.0,,2243192.0,4704715.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,愛之味,
1218,,,,,,,,,,,,,,,,,,,,8261644.0,,,,,,,,,,,,,,,,,4838384.0,3533360,10211.0,95614.0,-15852.0,-203876.0,3419457.0,,,3803.0,3423260.0,13680042.0,0,10.07,3278471.0,4983173.0,,2184958.0,2653426.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,泰山企業,
1219,,,,,,,,,,,,,,,,,,,,5664469.0,,,,,,,,,,,,,,,,,1955092.0,3070473,59244.0,578249.0,-463.0,0.0,3707503.0,,,1874.0,3709377.0,0.0,0,12.07,3250191.0,2414278.0,,909313.0,1045779.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,福壽實業,
1220,,,,,,,,,,,,,,,,,,,,2987315.0,,,,,,,,,,,,,,,,,699421.0,1770779,537.0,434398.0,-79399.0,0.0,2126315.0,,,161579.0,2287894.0,0.0,0,12.01,1893467.0,1093848.0,,415237.0,284184.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,台榮,
1225,,,,,,,,,,,,,,,,,,,,6674941.0,,,,,,,,,,,,,,,,,4126358.0,1874705,97657.0,302260.0,-4614.0,,2270008.0,,,278575.0,2548583.0,0.0,0,12.11,3546593.0,3128348.0,,2067913.0,2058445.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,福懋油,
1227,,,,,,,,,,,,,,,,,,,,14189084.0,,,,,,,,,,,,,,,,,3423387.0,5748973,35240.0,4709305.0,155531.0,-21182.0,10627867.0,,,137830.0,10765697.0,4190040.0,0,18.62,10877195.0,3311889.0,,3198046.0,225341.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佳格,
1229,,,,,,,,,,,,,,,,,,,,25476514.0,,,,,,,,,,,,,,,,,5097939.0,8505668,704701.0,7723910.0,3357673.0,-2393.0,20289559.0,,,89016.0,20378575.0,94000.0,497000,23.86,3234799.0,22241715.0,,2693036.0,2404903.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,聯華實業,
1231,,,,,,,,,,,,,,,,,,,,4999753.0,,,,,,,,,,,,,,,,,2557709.0,1224480,72435.0,1092265.0,37452.0,0.0,2426632.0,,,15412.0,2442044.0,0.0,0,19.82,2710453.0,2289300.0,,1372370.0,1185339.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,聯華食品,
1232,,,,,,,,,,,,,,,,,,,,4073782.0,,,,,,,,,,,,,,,,,904233.0,1599749,23784.0,1509005.0,3391.0,,3135929.0,,,33620.0,3169549.0,0.0,0,19.6,3361891.0,711891.0,,815897.0,88336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大統益,
1233,,,,,,,,,,,,,,,,,,,,1935687.0,,,,,,,,,,,,,,,,,408246.0,905919,60605.0,531335.0,16684.0,0.0,1514543.0,,,12898.0,1527441.0,0.0,0,16.72,704415.0,1231272.0,,291970.0,116276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,天仁,
